Sex,Age,Height,Weight,NOC,Year,Medal,sport_en
0,27.0,173.0,62.0,4,2000,3.0,3
1,19.0,165.0,58.0,4,2012,2.0,14
1,33.0,176.0,81.0,4,2008,1.0,33
0,24.0,167.0,51.0,4,2012,2.0,9
0,28.0,167.0,51.0,4,2016,3.0,9
0,22.0,180.0,77.0,4,2006,3.0,39
0,15.0,162.0,49.0,4,2016,1.0,14
0,22.0,170.0,63.0,4,2008,2.0,23
0,16.0,157.0,42.0,4,2000,1.0,14
0,20.0,143.0,34.0,4,2016,3.0,21
0,23.0,160.0,45.0,4,2002,3.0,17
0,27.0,160.0,45.0,4,2006,3.0,17
0,31.0,160.0,45.0,4,2010,1.0,17
1,27.0,164.0,58.0,4,2000,3.0,50
0,23.0,175.0,68.0,4,2016,3.0,40
1,19.0,175.0,66.0,4,2014,3.0,34
0,24.0,159.0,52.0,4,2016,1.0,14
0,24.0,159.0,52.0,4,2016,1.0,14
1,22.0,168.0,70.0,4,2016,1.0,49
1,24.0,160.0,69.0,4,2004,1.0,49
1,28.0,181.0,67.0,4,2012,3.0,2
0,17.0,164.0,57.0,4,2016,2.0,14
0,24.0,179.0,65.0,4,2004,1.0,47
0,22.0,174.0,69.0,4,2008,2.0,23
0,19.0,177.0,51.0,4,2008,2.0,29
0,20.0,153.0,43.0,4,2012,2.0,21
0,21.0,177.0,57.0,4,2008,2.0,29
0,23.0,162.0,58.0,4,2002,2.0,34
0,30.0,178.0,124.0,4,2004,3.0,25
0,20.0,166.0,60.0,4,2000,2.0,42
0,21.0,161.0,56.0,4,2010,1.0,34
0,22.0,171.0,55.0,4,2008,3.0,41
0,22.0,175.0,64.0,4,2004,1.0,44
0,22.0,170.0,58.0,4,2012,2.0,41
0,26.0,170.0,58.0,4,2016,2.0,41
0,26.0,170.0,58.0,4,2016,2.0,41
0,23.0,161.0,51.0,4,2016,3.0,50
1,20.0,198.0,89.0,4,2012,2.0,40
1,20.0,198.0,89.0,4,2012,1.0,40
1,20.0,198.0,89.0,4,2012,1.0,40
1,20.0,198.0,89.0,4,2012,3.0,40
1,24.0,198.0,89.0,4,2016,1.0,40
1,24.0,198.0,89.0,4,2016,2.0,40
0,19.0,169.0,61.0,4,2008,3.0,40
0,24.0,177.0,63.0,4,2016,3.0,16
0,24.0,177.0,63.0,4,2016,2.0,16
0,19.0,185.0,78.0,4,2012,3.0,16
0,19.0,185.0,78.0,4,2012,1.0,16
0,23.0,185.0,78.0,4,2016,2.0,16
0,19.0,148.0,36.0,4,2016,3.0,21
0,21.0,170.0,60.0,4,2008,2.0,40
0,20.0,176.0,77.0,4,2004,2.0,16
0,24.0,176.0,77.0,4,2008,2.0,16
1,36.0,179.0,86.0,4,2008,2.0,33
0,22.0,182.0,72.0,4,2008,1.0,30
0,32.0,166.0,58.0,4,2008,2.0,23
0,25.0,172.0,120.0,4,2004,1.0,49
0,21.0,176.0,68.0,4,2008,2.0,40
0,24.0,178.0,78.0,4,2000,1.0,25
0,22.0,169.0,59.0,4,2016,2.0,41
0,19.0,178.0,70.0,4,2012,3.0,40
0,26.0,160.0,60.0,4,2000,1.0,33
0,26.0,160.0,60.0,4,2000,2.0,33
1,19.0,156.0,48.0,4,2004,1.0,21
0,27.0,177.0,68.0,4,2008,2.0,6
1,21.0,172.0,60.0,4,2000,1.0,14
1,21.0,172.0,60.0,4,2000,2.0,14
1,24.0,172.0,60.0,4,2004,3.0,14
1,24.0,172.0,60.0,4,2004,1.0,14
0,25.0,168.0,63.0,4,2012,1.0,3
1,22.0,172.0,85.0,4,2016,2.0,49
1,30.0,179.0,75.0,4,2010,2.0,17
0,25.0,180.0,130.0,4,2008,1.0,25
0,29.0,180.0,130.0,4,2012,3.0,25
0,24.0,174.0,66.0,4,2010,3.0,39
0,25.0,164.0,65.0,4,2010,3.0,12
0,21.0,157.0,50.0,4,2004,3.0,33
0,23.0,169.0,60.0,4,2002,3.0,34
0,23.0,169.0,60.0,4,2002,2.0,34
1,29.0,170.0,67.0,4,2008,1.0,14
1,26.0,185.0,83.0,4,2000,2.0,16
1,30.0,185.0,83.0,4,2004,2.0,16
1,20.0,175.0,78.0,4,2004,2.0,42
1,24.0,175.0,78.0,4,2008,2.0,42
1,24.0,175.0,78.0,4,2008,1.0,42
1,28.0,175.0,78.0,4,2012,2.0,42
1,28.0,175.0,78.0,4,2012,1.0,42
0,19.0,156.0,50.0,4,2012,1.0,14
0,20.0,177.0,72.0,4,2008,1.0,50
0,24.0,187.0,72.0,4,2008,2.0,6
1,23.0,190.0,108.0,4,2004,2.0,16
0,26.0,181.0,75.0,4,2004,1.0,47
0,24.0,163.0,46.0,4,2000,1.0,2
1,22.0,192.0,85.0,4,2000,1.0,42
1,26.0,192.0,85.0,4,2004,3.0,42
1,30.0,192.0,85.0,4,2008,3.0,42
1,30.0,192.0,85.0,4,2008,1.0,42
0,32.0,167.0,67.0,4,2006,2.0,39
0,20.0,167.0,60.0,4,2006,1.0,34
0,20.0,167.0,60.0,4,2006,2.0,34
0,20.0,167.0,60.0,4,2006,3.0,34
0,24.0,167.0,60.0,4,2010,1.0,34
0,24.0,167.0,60.0,4,2010,1.0,34
0,24.0,167.0,60.0,4,2010,1.0,34
0,26.0,150.0,48.0,4,2012,1.0,49
0,24.0,172.0,58.0,4,2008,3.0,41
0,21.0,166.0,60.0,4,2000,1.0,42
0,21.0,166.0,60.0,4,2000,1.0,42
0,25.0,166.0,60.0,4,2004,1.0,42
0,29.0,166.0,60.0,4,2008,2.0,42
0,29.0,166.0,60.0,4,2008,1.0,42
1,22.0,191.0,74.0,4,2016,3.0,40
0,15.0,137.0,28.0,4,2008,3.0,14
0,15.0,137.0,28.0,4,2008,1.0,14
0,18.0,170.0,75.0,4,2004,1.0,50
0,16.0,140.0,33.0,4,2016,3.0,21
1,39.0,174.0,85.0,4,2000,2.0,33
1,43.0,174.0,85.0,4,2004,1.0,33
0,24.0,178.0,65.0,4,2012,2.0,3
0,20.0,190.0,90.0,4,2008,3.0,47
1,20.0,180.0,62.0,4,2012,3.0,2
1,24.0,180.0,62.0,4,2016,1.0,2
1,25.0,183.0,70.0,4,2004,3.0,33
1,24.0,178.0,77.0,4,2012,3.0,33
0,22.0,167.0,60.0,4,2004,2.0,33
0,29.0,167.0,60.0,4,2012,2.0,33
0,19.0,182.0,65.0,4,2008,3.0,47
0,27.0,182.0,65.0,4,2016,1.0,47
0,26.0,175.0,68.0,4,2008,3.0,3
1,19.0,182.0,73.0,4,2014,2.0,34
1,19.0,182.0,73.0,4,2014,3.0,34
1,23.0,188.0,78.0,4,2004,2.0,16
1,23.0,163.0,59.0,4,2012,2.0,49
0,21.0,167.0,51.0,4,2008,1.0,43
0,25.0,167.0,51.0,4,2012,1.0,43
1,24.0,157.0,58.0,4,2004,2.0,49
0,18.0,167.0,52.0,4,2004,2.0,14
0,18.0,167.0,52.0,4,2004,1.0,14
0,22.0,167.0,52.0,4,2008,3.0,14
0,22.0,167.0,52.0,4,2008,1.0,14
0,26.0,167.0,52.0,4,2012,1.0,14
0,26.0,167.0,52.0,4,2012,1.0,14
0,30.0,167.0,52.0,4,2016,1.0,14
1,19.0,152.0,58.0,4,2000,2.0,49
0,25.0,168.0,54.0,4,2012,2.0,41
0,24.0,182.0,78.0,4,2008,2.0,30
0,26.0,182.0,80.0,4,2008,1.0,30
1,21.0,178.0,70.0,4,2000,3.0,3
0,28.0,158.0,52.0,4,2004,1.0,25
0,32.0,158.0,52.0,4,2008,1.0,25
0,24.0,163.0,69.0,4,2016,1.0,49
1,23.0,165.0,60.0,4,2000,1.0,14
1,21.0,163.0,55.0,4,2000,1.0,21
1,23.0,163.0,52.0,4,2008,1.0,21
1,23.0,163.0,52.0,4,2008,1.0,21
0,27.0,178.0,60.0,4,2008,2.0,3
1,18.0,171.0,64.0,4,2000,1.0,21
0,20.0,168.0,48.0,4,2004,1.0,2
1,26.0,166.0,55.0,4,2000,1.0,14
1,26.0,166.0,55.0,4,2000,1.0,14
0,20.0,182.0,76.0,4,2012,1.0,16
0,24.0,182.0,76.0,4,2016,2.0,16
1,27.0,188.0,82.0,4,2012,2.0,3
0,29.0,174.0,60.0,4,2012,2.0,30
1,20.0,187.0,78.0,4,2016,2.0,40
0,21.0,169.0,70.0,4,2012,2.0,1
0,18.0,168.0,55.0,4,2008,2.0,50
0,20.0,176.0,60.0,4,2008,3.0,32
0,24.0,176.0,60.0,4,2012,1.0,32
0,24.0,166.0,63.0,4,2012,2.0,25
0,23.0,165.0,59.0,4,2014,2.0,19
0,17.0,168.0,56.0,4,2008,3.0,40
1,26.0,180.0,67.0,4,2016,1.0,42
0,26.0,166.0,57.0,4,2008,3.0,25
0,20.0,173.0,70.0,4,2004,2.0,40
0,21.0,195.0,75.0,4,2008,3.0,47
0,29.0,195.0,75.0,4,2016,1.0,47
0,19.0,190.0,79.0,4,2008,3.0,6
1,28.0,181.0,88.0,4,2008,3.0,1
0,21.0,193.0,68.0,4,2008,3.0,47
0,29.0,192.0,74.0,4,2016,1.0,47
1,25.0,168.0,60.0,4,2000,1.0,42
0,23.0,171.0,55.0,4,2008,3.0,44
0,21.0,190.0,71.0,4,2016,1.0,47
0,24.0,183.0,75.0,4,2004,1.0,47
0,28.0,183.0,75.0,4,2008,3.0,47
1,21.0,162.0,52.0,4,2004,1.0,14
1,28.0,175.0,75.0,4,2000,1.0,33
0,24.0,183.0,80.0,4,2000,3.0,16
0,21.0,172.0,63.0,4,2000,2.0,3
0,25.0,172.0,63.0,4,2004,1.0,3
1,20.0,160.0,54.0,4,2000,2.0,21
1,20.0,160.0,54.0,4,2000,1.0,21
1,28.0,160.0,54.0,4,2008,1.0,21
1,28.0,160.0,54.0,4,2008,1.0,21
1,28.0,160.0,54.0,4,2008,2.0,21
1,20.0,178.0,78.0,4,2004,1.0,10
1,24.0,178.0,78.0,4,2008,1.0,10
0,22.0,150.0,53.0,4,2000,1.0,49
0,24.0,173.0,77.0,4,2008,1.0,25
0,25.0,166.0,58.0,4,2002,1.0,34
0,25.0,166.0,58.0,4,2002,1.0,34
0,25.0,166.0,58.0,4,2002,2.0,34
0,29.0,166.0,58.0,4,2006,3.0,34
0,24.0,165.0,60.0,4,2002,3.0,34
0,24.0,165.0,60.0,4,2002,2.0,34
0,15.0,150.0,35.0,4,2008,3.0,21
0,15.0,150.0,35.0,4,2008,1.0,21
0,15.0,150.0,35.0,4,2008,3.0,21
0,23.0,165.0,55.0,4,2000,2.0,42
0,19.0,175.0,68.0,4,2004,2.0,40
0,23.0,175.0,68.0,4,2008,2.0,40
0,15.0,158.0,40.0,4,2000,3.0,21
1,30.0,178.0,74.0,4,2000,2.0,16
1,34.0,178.0,74.0,4,2004,2.0,16
0,16.0,173.0,64.0,4,2012,1.0,40
0,16.0,173.0,64.0,4,2012,1.0,40
0,26.0,175.0,65.0,4,2000,3.0,3
0,23.0,165.0,51.0,4,2012,1.0,33
0,27.0,165.0,51.0,4,2016,3.0,33
0,21.0,170.0,58.0,4,2016,2.0,41
0,25.0,170.0,59.0,4,2004,2.0,32
0,29.0,170.0,59.0,4,2008,1.0,32
